year,type,discrete_mw,cumulative_mw
1996-01-01,1,171.8124252185918,171.8124252185918
1997-01-01,1,59.924850437183636,231.73727565577545
1998-01-01,1,73.22485043718356,304.962126092959
1999-01-01,1,118.63727565577551,423.5994017487345
2000-01-01,1,227.73759825126547,651.337
2001-01-01,1,250.61199999999985,901.9489999999998
2002-01-01,1,309.47800000000007,1211.427
2003-01-01,1,535.0470000000003,1746.4740000000002
2004-01-01,1,1053.9749999999995,2800.4489999999996
2005-01-01,1,1443.755,4244.204
2006-01-01,1,1454.2619999999997,5698.465999999999
2007-01-01,1,2283.6940000000004,7982.16
2008-01-01,1,6389.098000000002,14371.258000000002
2009-01-01,1,8267.786,22639.044
2010-01-01,1,17490.31599999999,40129.35999999999
2011-01-01,1,31240.750999999997,71370.11099999999
2012-01-01,1,31306.14200000002,102676.25300000001
2013-01-01,1,36781.50399999994,139457.75699999995
2014-01-01,1,36556.93300000005,176014.69
2015-01-01,1,45973.111999999965,221987.80199999997
2016-01-01,1,73827.85200000001,295815.654
2017-01-01,1,92734.46499999997,388550.11899999995
2018-01-01,1,100190.83700000017,488740.9560000001
2019-01-01,1,97680.33400000003,586421.2900000002
1995-01-01,2,4778.0,4778.0
1996-01-01,2,1292.0,6070.0
1997-01-01,2,1553.0749999999998,7623.075
1998-01-01,2,2313.0999999999995,9936.175
1999-01-01,2,3490.380000000001,13426.555
2000-01-01,2,3877.144999999997,17303.699999999997
2001-01-01,2,6672.700000000008,23976.400000000005
2002-01-01,2,7003.059999999998,30979.460000000003
2003-01-01,2,7412.2800000000025,38391.740000000005
2004-01-01,2,8519.019999999997,46910.76
2005-01-01,2,11530.619999999995,58441.38
2006-01-01,2,14710.599999999999,73151.98
2007-01-01,2,18344.240000000005,91496.22
2008-01-01,2,23851.354000000007,115347.57400000001
2009-01-01,2,34817.43000000001,150165.00400000002
2010-01-01,2,30758.86699999997,180923.87099999998
2011-01-01,2,39196.39200000002,220120.263
2012-01-01,2,46976.45299999995,267096.71599999996
2013-01-01,2,33190.02700000006,300286.743
2014-01-01,2,49384.26399999997,349671.007
2015-01-01,2,66604.95500000007,416275.96200000006
2016-01-01,2,50550.668999999994,466826.63100000005
2017-01-01,2,47575.027999999875,514401.6589999999
2018-01-01,2,49418.321000000054,563819.98
2019-01-01,2,58884.32400000014,622704.3040000001
